year,Infant,Children,Youth,Adult,Elderly,Sum Prediction,Total_Populations,Province,DependencyRatio
2013,37851.4671875,153073.0,168715.42766319012,679160.3474875488,105850.79999999999,1144651.042338239,1207699.0,เชียงราย,0.3500221092349738
2014,37806.638261761516,153209.91847499998,165078.23359573036,680875.0253994111,106511.09742367038,1143480.9131555734,1207713.8926195002,เชียงราย,0.3517069660726263
2015,37382.524664401666,152936.74535416314,161799.58575259004,685149.2676190783,111160.57670668047,1148428.7000969136,1210737.7706007818,เชียงราย,0.35595992074971994
2016,35095.63607504579,153677.69264430358,158581.48436337055,686924.2976366889,118413.64037907365,1152692.7510984824,1280659.3226075135,เชียงราย,0.363317407920933
2017,34050.648365710826,155281.3830705776,154842.3945954475,691316.24627654,124040.16251146297,1159530.834819739,1285580.1478929478,เชียงราย,0.3703468579187629
2018,33502.41922153653,155385.6666232604,150854.40204390406,692411.9291312407,131720.56707117904,1163874.9840911208,1290650.5994871594,เชียงราย,0.38019856961345483
2019,32582.026304565723,154563.06106733048,146829.19147505623,691221.2598416656,140255.6991896473,1165451.2378782653,1295168.5239454817,เชียงราย,0.3906695426834272
2020,31441.19295301401,153631.52768136695,144056.81083960173,687562.136551531,149075.59774521392,1165767.2657707278,1301334.5555476407,เชียงราย,0.40180459984449574
2021,30147.4230323687,152237.48182169185,140683.99645375495,682992.3243611241,160624.51164834332,1166685.737317283,1298103.1480043742,เชียงราย,0.4164371462846692
2022,28124.28814603295,151242.07420187292,136489.88054044032,679367.7534373626,171505.6756338643,1166729.6719595732,1301469.0279909316,เชียงราย,0.4300652753239009
2023,26025.132340220858,149257.50105206462,132653.92858267773,674518.0206005496,181163.9504966002,1163618.533072113,1302690.6200045794,เชียงราย,0.44159932000805024
2024,24211.00356965556,147776.4717331199,128973.71533462765,670683.0871356074,190933.83112873597,1162578.1089017466,1305736.0748692043,เชียงราย,0.4538463317143108
2025,22396.874799090263,146295.44241417514,125293.50208657757,666848.1536706651,200703.71176087172,1161537.6847313798,1308781.529733829,เชียงราย,0.4663257212764747
2026,20582.746028524965,144814.4130952304,121613.28883852749,663013.2202057228,210473.59239300748,1160497.2605610131,1311826.9845984536,เชียงราย,0.47904416583453086
